9
Gen 1 => 3.1425438596491233
# of feats=4 Fitness=3.1425438596491233
[1, 0, 1, 0, 0, 1, 0, 0, 1]
Gen 2 => 2.5153508771929722
# of feats=5 Fitness=2.5153508771929722
[1, 0, 1, 0, 0, 1, 0, 1, 1]
Gen 3 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 4 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 5 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 6 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 7 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 8 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 9 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 10 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 11 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 12 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 13 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 14 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 15 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 16 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 17 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 18 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 19 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 20 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 21 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 22 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 23 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 24 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 25 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 26 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 27 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 28 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 29 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 30 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 31 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 32 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 33 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 34 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 35 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 36 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 37 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 38 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 39 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 40 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 41 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 42 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 43 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 44 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 45 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 46 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 47 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 48 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 49 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 50 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 51 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 52 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 53 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 54 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 55 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 56 => 2.3048245614035068
# of feats=6 Fitness=2.3048245614035068
[1, 0, 1, 0, 0, 1, 1, 1, 1]
Gen 57 => 2.3048245614035068
