8,8,8,9,10,9,8,8,8,9,7,8,9,8,9,8,9,7,9,8,9,8,8,8,8,8,7,8,10,8
9,8,8,9,10,10,9,9,8,10,7,8,9,8,10,8,8,8,8,8,9,8,8,8,8,9,7,8,10,8
9,7,9,9,10,10,9,8,8,9,7,8,8,8,9,9,8,8,8,8,9,8,8,8,8,8,7,8,9,9
9,8,9,9,10,10,8,8,8,10,7,9,8,8,8,9,8,8,8,8,8,9,9,8,9,8,8,8,9,8
8,8,9,9,10,10,8,8,9,9,7,9,9,8,9,9,8,8,8,8,8,9,9,8,9,8,8,9,9,7
8,9,9,9,11,10,8,8,9,9,7,8,8,8,8,9,8,8,8,8,8,9,9,7,9,9,8,8,9,7
8,8,9,9,11,10,8,8,9,8,7,9,8,8,9,10,9,8,8,8,9,9,10,8,9,8,8,8,9,8
8,8,9,9,9,10,8,8,9,9,8,9,9,8,9,9,9,8,8,8,9,9,9,8,8,8,8,8,9,7
9,8,8,10,9,9,9,8,8,9,8,9,9,8,8,9,9,8,8,9,9,8,9,8,8,8,8,8,9,8
9,8,8,9,9,10,8,8,8,9,8,9,9,8,8,9,9,8,8,8,8,8,9,8,8,9,8,8,9,9
9,8,8,9,9,10,8,8,8,9,8,9,8,8,8,9,9,8,9,8,8,9,9,8,8,8,8,8,9,7
9,9,8,9,9,10,8,8,8,9,8,9,8,8,8,9,9,8,8,8,8,9,9,8,8,8,8,8,9,8
9,8,8,9,9,10,8,8,8,9,8,9,8,8,8,9,9,8,8,8,9,9,8,8,8,8,8,7,9,8
9,8,8,9,9,11,9,8,8,9,8,9,8,8,8,9,9,9,8,8,9,9,9,8,8,9,8,8,9,7
9,8,8,9,9,10,9,7,8,9,8,10,9,8,8,9,9,8,9,8,8,8,8,8,8,9,7,8,9,7
10,8,8,9,9,11,9,7,8,9,9,9,9,8,8,9,9,8,9,8,8,8,9,9,8,8,8,8,9,7
10,8,8,9,8,11,8,8,8,9,8,9,9,8,8,9,8,8,8,8,9,8,9,8,8,8,8,8,8,7
9,9,8,9,7,11,8,7,8,9,8,9,8,9,9,9,8,8,8,8,9,8,9,8,8,9,9,8,9,8
9,9,9,9,8,10,8,8,8,9,8,9,8,9,8,10,8,9,8,9,8,8,9,8,9,9,8,9,9,8
10,9,9,9,8,10,8,8,8,9,8,9,8,9,8,9,8,9,9,8,9,8,8,8,9,10,8,8,9,8
9,8,9,9,8,10,8,8,8,8,9,9,8,9,9,9,8,8,8,8,9,8,9,8,9,9,8,8,9,8
9,8,9,9,8,10,9,8,8,9,9,9,8,8,8,9,8,8,9,8,9,8,9,9,8,9,8,8,9,8
9,9,9,9,8,10,9,8,8,9,9,9,8,8,8,10,9,8,9,9,9,9,9,9,8,9,8,8,9,7
9,8,9,8,8,10,9,8,8,9,9,9,8,9,8,9,9,8,8,8,10,9,9,9,8,9,9,8,9,8
9,8,9,9,9,10,9,9,8,9,9,9,8,9,9,9,9,8,9,8,9,8,9,8,8,8,9,8,8,8
9,9,9,8,9,10,10,8,8,9,9,9,8,9,8,9,9,8,9,9,9,8,9,8,8,9,9,7,9,8
