debinfilter,abcbinfilter,psobinfilter,gabinfilter,derealfilter,abcrealfilter,psorealfilter,garealfilter
0.4064,0.4064,0.4064,0.4064,0.4064,0.4064,0.4064,0.4064
0.4064,0.4064,0.4064,0.4064,0.4064,0.4064,0.3704,0.4064
0.3505,0.4064,0.4064,0.4018,0.4008,0.3897,0.329,0.3985
0.2389,0.4064,0.4064,0.3372,0.2389,0.2389,0.1855,0.2389
0.07445415,0,0,0.01754931,0.0305837,0.05111325,0.0852842,0.03268355
0.0777,0.0777,0.0777,0.0777,0.0922,0.0777,0.0922,0.0922
0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777
0.0777,0.0777,0.0777,0.0777,0.0782,0.0777,0.082,0.0786
0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777,0.0777
0,0,0,0,0.002658847,0,0.006787742,0.003694779
0.1726,0.1574,0.1574,0.1574,0.1624,0.1726,0.5228,0.1624
0.1574,0.1574,0.1574,0.1574,0.1574,0.1574,0.1599,0.1574
0.1606,0.1574,0.1574,0.1574,0.1575,0.1584,0.186,0.1577
0.1574,0.1574,0.1574,0.1574,0.1574,0.1574,0.1574,0.1574
0.005731126,0,0,0,0.0009267725,0.003863576,0.09184082,0.001287859
0.3739,0.4618,0.4879,0.5399,0.5344,0.3025,0.4285,0.4846
0.2218,0.4037,0.331,0.422,0.4232,0.1774,0.3105,0.4105
0.2322,0.4028,0.3443,0.433,0.4242,0.1961,0.3088,0.4105
0.1598,0.3468,0.2575,0.3344,0.321,0.1224,0.2232,0.3437
0.04922976,0.02163983,0.06801062,0.04926393,0.06144842,0.04961209,0.05629769,0.02442987
0.3721,0.309,0.3721,0.309,0.299,0.3721,0.3721,0.309
0.3106,0.299,0.299,0.299,0.299,0.299,0.299,0.299
0.312,0.2993,0.3047,0.302,0.299,0.3101,0.3059,0.3027
0.2757,0.299,0.299,0.299,0.299,0.2857,0.2658,0.299
0.02415256,0.001819676,0.01412617,0.004645431,0,0.02087248,0.02253153,0.004885042
0.217,0.0943,0.1415,0.0943,0.0943,0.1792,0.1981,0.0943
0.1321,0.0943,0.0896,0.0943,0.0943,0.1132,0.1226,0.0943
0.1393,0.094,0.0934,0.0943,0.0928,0.1217,0.1226,0.0931
0.0849,0.0849,0.0566,0.0943,0.0849,0.0566,0.066,0.0566
0.03265045,0.001722398,0.01757964,0,0.003575934,0.03243039,0.03084438,0.006889592
0.3333,0.4833,0.3917,0.4667,0.5083,0.3583,0.3583,0.3917
0.2667,0.3375,0.2917,0.3667,0.3542,0.2833,0.3083,0.3333
0.2667,0.3428,0.2875,0.37,0.3461,0.2842,0.2956,0.3356
0.2,0.2583,0.2167,0.2667,0.2333,0.2167,0.2083,0.275
0.03048145,0.04661601,0.04075144,0.04352742,0.06134404,0.03849105,0.03857702,0.03424985
0.3906,0.2812,0.375,0.2812,0.3438,0.4531,0.4688,0.3125
0.2656,0.1562,0.2422,0.2188,0.2656,0.25,0.2734,0.2031
0.2542,0.187,0.2385,0.2089,0.2526,0.2755,0.2672,0.2078
0.1562,0.1562,0.1719,0.1562,0.1719,0.1875,0.0938,0.1562
0.05549865,0.03903196,0.04282688,0.03611937,0.04680011,0.07747394,0.07789297,0.04875021
0.3617,0.3404,0.3404,0.3404,0.3404,0.3404,0.4255,0.3404
0.3191,0.3404,0.3404,0.3404,0.3404,0.3404,0.3404,0.3404
0.3135,0.3404,0.3376,0.3376,0.3404,0.317,0.3213,0.3291
0.2553,0.3404,0.2553,0.2553,0.3404,0.2553,0.234,0.2553
0.03486414,0,0.01553823,0.01553823,0,0.03322101,0.04231408,0.02942518
0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.1948,0.0131
0.0119,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131
0.0115,0.0131,0.013,0.0131,0.0131,0.0123,0.0258,0.013
0.0086,0.0119,0.0119,0.0131,0.0119,0.0057,0.0086,0.0119
0.001749302,0.0002246606,0.0003754658,0,0.0002246606,0.001638389,0.04639094,0.0003121921
0.4527,0.3877,0.5195,0.4622,0.4965,0.5195,0.555,0.4167
0.388,0.3106,0.4181,0.357,0.4303,0.4176,0.4314,0.3558
0.3819,0.3299,0.4193,0.3553,0.4266,0.4199,0.4372,0.3453
0.3067,0.3044,0.3245,0.3038,0.3434,0.3168,0.3292,0.3044
0.03878167,0.03066604,0.04918022,0.03547517,0.04059139,0.04621874,0.0602551,0.03880901
0.1677,0.2795,0.1718,0.207,0.2277,0.1408,0.1801,0.294
0.1284,0.2298,0.1418,0.1739,0.1605,0.1232,0.1511,0.2195
0.1313,0.2336,0.143,0.1751,0.1577,0.1235,0.1505,0.219
0.1077,0.1946,0.1118,0.1429,0.1242,0.089,0.1159,0.1698
0.01469716,0.02140654,0.01432279,0.01630849,0.01953647,0.01263862,0.01617623,0.02435613
0.284,0.2099,0.2099,0.2099,0.2099,0.2716,0.3086,0.2099
0.2222,0.1975,0.1975,0.2099,0.1975,0.2099,0.2222,0.1975
0.2169,0.1992,0.2021,0.2041,0.2021,0.2095,0.2255,0.2033
0.1235,0.1975,0.1975,0.1975,0.1975,0.1605,0.1235,0.1975
0.03790432,0.004268468,0.006051019,0.006264398,0.006051019,0.03233748,0.04300362,0.006264398
0.4369,0.3973,0.3848,0.4025,0.3326,0.4327,0.4234,0.3973
0.3274,0.2669,0.2727,0.268,0.2706,0.3274,0.3347,0.2096
0.3362,0.2478,0.2743,0.2629,0.2677,0.3315,0.3339,0.2374
0.2586,0.2096,0.1971,0.194,0.2044,0.2534,0.2065,0.1992
0.04841066,0.04130598,0.04937633,0.04786889,0.03890379,0.04278901,0.05920215,0.04145869
0.543,0.4336,0.4688,0.4336,0.4688,0.4922,0.5391,0.4688
0.4355,0.4336,0.4336,0.4336,0.4336,0.4375,0.4512,0.4336
0.4451,0.4336,0.4348,0.4336,0.4359,0.4488,0.4572,0.4383
0.4141,0.4336,0.4336,0.4336,0.4336,0.4141,0.4141,0.4336
0.02824175,0,0.006418624,0,0.008919427,0.02201,0.03484028,0.01215513
