b,8,4,u,g,w,v,6,f,f,2,f,g,5,3,-
b,5,10,u,g,k,v,7,t,t,5,t,g,4,6,-
b,8,7,u,g,aa,v,5,t,f,1,t,g,8,1,-
b,5,11,u,g,w,v,5,t,f,1,t,g,8,1,-
b,12,4,u,g,d,v,9,f,f,3,t,g,2,9,-
b,7,2,u,g,c,v,4,f,f,2,f,g,7,8,-
b,2,2,y,p,c,v,3,f,t,4,f,g,7,5,-
b,2,10,y,p,k,h,5,t,f,3,t,g,5,4,-
a,12,9,u,g,aa,h,8,f,f,4,f,g,2,5,-
b,2,8,u,g,q,v,4,t,t,4,f,g,6,1,-
b,3,1,y,p,k,v,3,f,f,2,f,g,7,7,-
b,7,4,y,p,w,v,2,f,f,4,f,s,6,5,-
b,6,11,u,g,cc,v,5,f,f,4,f,g,2,6,-
b,11,12,y,p,ff,ff,1,t,f,2,t,g,1,3,-
b,6,7,y,p,c,bb,8,f,f,2,f,g,7,10,-
b,12,6,u,g,c,v,8,f,f,3,t,g,9,4,-
b,3,8,y,p,j,v,4,f,f,2,f,g,5,8,-
a,7,10,u,g,q,h,2,f,t,6,t,g,5,6,-
b,12,2,u,g,c,v,5,t,t,5,t,g,6,3,-
a,6,4,u,g,m,v,7,t,f,1,f,s,9,1,-
b,3,7,y,p,i,h,2,f,f,3,f,g,5,7,-
b,5,2,y,p,cc,h,2,f,f,2,f,g,8,5,-
b,5,5,u,g,e,dd,3,f,t,5,f,g,9,10,-
b,1,9,u,g,e,v,6,f,f,2,f,g,10,3,-
b,10,5,u,g,k,v,3,t,f,3,f,g,6,4,-
b,12,11,y,p,c,h,9,t,f,1,f,g,4,1,-
a,6,5,u,g,ff,ff,1,f,f,3,f,g,9,5,-
b,7,2,u,g,w,v,4,f,t,4,f,g,9,11,-
a,1,6,u,g,q,v,2,f,f,2,f,g,5,3,-
b,6,2,u,g,aa,v,4,t,f,1,t,g,7,1,-
b,11,5,u,g,ff,ff,4,f,f,3,f,g,7,6,-
b,9,5,u,g,w,bb,3,t,f,3,t,g,6,4,-
b,11,9,y,p,c,v,7,f,f,1,f,g,6,6,-
a,11,4,u,g,j,j,1,t,f,1,t,g,4,7,-
b,4,7,y,p,k,v,4,f,t,4,t,g,8,7,-
b,11,8,u,g,i,bb,8,f,f,2,t,g,5,3,-
a,8,8,u,g,d,v,6,f,f,1,f,g,8,2,-
a,5,2,u,g,w,v,4,f,t,4,t,g,8,6,-
b,12,11,u,g,ff,ff,1,t,t,4,f,g,4,1,-
b,8,11,u,g,c,v,4,t,f,1,f,g,4,1,-
b,6,11,u,g,e,dd,1,f,f,2,t,g,5,10,-
a,1,10,u,g,w,v,5,f,t,4,f,g,4,5,-
b,6,4,u,g,k,h,3,f,f,2,t,s,5,3,-
b,1,1,y,p,aa,v,3,f,f,2,f,g,3,3,-
a,1,4,u,g,q,v,3,f,t,4,f,g,4,7,-
b,10,9,u,g,q,h,10,t,t,6,t,g,9,6,-
b,4,2,u,g,c,h,2,t,f,3,f,g,6,5,-
b,1,3,u,g,m,v,2,t,f,2,f,s,7,3,-
b,3,10,y,p,e,h,6,f,f,4,f,g,8,5,-
b,3,2,u,g,k,v,3,f,f,2,t,g,8,7,-
a,1,2,u,g,i,v,3,f,t,6,t,g,8,7,-
b,1,1,y,p,c,v,2,f,f,1,f,g,5,9,-
