filter bin knn alg-pso mushroom 0.9869 0.9869 0.9870 0.9881 0.0003754658 2.0 2.5 2.6 4.0 0.6746647
filter bin knn alg-pso optic 0.4805 0.5819 0.5807 0.6755 0.04918022 5.00 10.00 10.27 16.00 2.211776
filter bin knn alg-pso semeion 0.8282 0.8582 0.8570 0.8882 0.01432279 69.00 77.00 76.67 83.00 3.575138
filter bin knn alg-pso spect 0.7901 0.8025 0.7979 0.8025 0.006051019 6.000 7.000 6.767 7.000 0.4301831
filter bin knn alg-pso splice 0.6152 0.7273 0.7257 0.8029 0.04937633 4.0 7.0 7.3 9.0 1.207734
filter bin knn alg-pso vehicle 0.5312 0.5664 0.5652 0.5664 0.006418624 5 5 5 5 0
filter bin knn alg-ga adult 0.5936 0.5936 0.5982 0.6628 0.01754931 5 5 5 5 0
filter bin knn alg-ga breast-cancer 0.9223 0.9223 0.9223 0.9223 0 1 1 1 1 0
filter bin knn alg-ga credit-approval 0.8426 0.8426 0.8426 0.8426 0 3.0 3.5 3.5 4.0 0.5085476
filter bin knn alg-ga gas 0.4601 0.5780 0.5670 0.6656 0.04926393 23.00 29.00 29.27 34.00 3.004977
filter bin knn alg-ga german 0.691 0.701 0.698 0.701 0.004645431 4.0 5.0 4.7 5.0 0.4660916
filter bin knn alg-ga ionosphere 0.9057 0.9057 0.9057 0.9057 0 5.0 5.5 5.5 6.0 0.5085476
filter bin knn alg-ga libras 0.5333 0.6333 0.6300 0.7333 0.04352742 6.0 7.0 6.9 9.0 0.8448628
filter bin knn alg-ga sonar 0.7188 0.7812 0.7911 0.8438 0.03611937 6.000 7.000 7.267 8.000 0.5832923
filter bin knn alg-ga lymph 0.6596 0.6596 0.6624 0.7447 0.01553823 3.000 4.000 3.967 4.000 0.1825742
filter bin knn alg-ga mushroom 0.9869 0.9869 0.9869 0.9869 0 2.000 2.000 2.433 3.000 0.5040069
filter bin knn alg-ga optic 0.5378 0.6430 0.6447 0.6962 0.03547517 5.000 7.000 6.733 10.000 1.284747
filter bin knn alg-ga semeion 0.7930 0.8261 0.8249 0.8571 0.01630849 45.0 51.0 51.1 59.0 3.1878
filter bin knn alg-ga spect 0.7901 0.7901 0.7959 0.8025 0.006264398 6.000 7.000 6.567 7.000 0.5040069
filter bin knn alg-ga splice 0.5975 0.7320 0.7371 0.8060 0.04786889 2.000 3.000 3.233 4.000 0.5040069
filter bin knn alg-ga vehicle 0.5664 0.5664 0.5664 0.5664 0 5 5 5 5 0
filter real knn alg-de adult 0.5936 0.5936 0.5992 0.7611 0.0305837 5 5 5 5 0
filter real knn alg-de breast-cancer 0.9078 0.9223 0.9218 0.9223 0.002658847 1 1 1 1 0
filter real knn alg-de credit-approval 0.8376 0.8426 0.8425 0.8426 0.0009267725 3.0 3.0 3.5 5.0 0.5723515
filter real knn alg-de gas 0.4656 0.5768 0.5758 0.6790 0.06144842 25.00 31.50 32.33 39.00 3.575138
filter real knn alg-de german 0.701 0.701 0.701 0.701 0 5 5 5 5 0
filter real knn alg-de ionosphere 0.9057 0.9057 0.9072 0.9151 0.003575934 5.000 6.000 5.567 7.000 0.5683208
filter real knn alg-de libras 0.4917 0.6458 0.6539 0.7667 0.06134404 6.000 9.000 9.067 13.000 1.680175
filter real knn alg-de sonar 0.6562 0.7344 0.7474 0.8281 0.04680011 5.0 7.0 7.1 10.0 1.155198
filter real knn alg-de lymph 0.6596 0.6596 0.6596 0.6596 0 4 4 4 4 0
filter real knn alg-de mushroom 0.9869 0.9869 0.9869 0.9881 0.0002246606 2.000 3.000 2.667 3.000 0.4794633
filter real knn alg-de optic 0.5035 0.5697 0.5734 0.6566 0.04059139 4.000 9.000 9.133 12.000 1.870521
filter real knn alg-de semeion 0.7723 0.8395 0.8423 0.8758 0.01953647 55.00 66.00 65.90 74.00 3.670479
filter real knn alg-de spect 0.7901 0.8025 0.7979 0.8025 0.006051019 7 7 7 7 0
filter real knn alg-de splice 0.6674 0.7294 0.7323 0.7956 0.03890379 2.000 4.000 4.133 7.000 1.008014
filter real knn alg-de vehicle 0.5312 0.5664 0.5641 0.5664 0.008919427 5 5 5 5 0
filter real knn alg-abc adult 0.5936 0.5936 0.6103 0.7611 0.05111325 5 5 5 5 0
filter real knn alg-abc breast-cancer 0.9223 0.9223 0.9223 0.9223 0 1 1 1 1 0
filter real knn alg-abc credit-approval 0.8274 0.8426 0.8416 0.8426 0.003863576 3.000 4.000 3.567 5.000 0.5683208
filter real knn alg-abc gas 0.6975 0.8226 0.8039 0.8776 0.04961209 33.0 42.0 44.1 58.0 6.053497
filter real knn alg-abc german 0.6279 0.7010 0.6899 0.7143 0.02087248 3.000 5.000 4.567 5.000 0.5683208
filter real knn alg-abc ionosphere 0.8208 0.8868 0.8783 0.9434 0.03243039 3.000 6.000 5.733 8.000 0.980265
filter real knn alg-abc libras 0.6417 0.7167 0.7158 0.7833 0.03849105 13.00 20.00 21.10 30.00 5.610028
filter real knn alg-abc sonar 0.5469 0.7500 0.7245 0.8125 0.07747394 7.00 10.00 10.13 13.00 1.569831
filter real knn alg-abc lymph 0.6596 0.6596 0.6830 0.7447 0.03322101 2.000 3.500 3.367 4.000 0.7183954
filter real knn alg-abc mushroom 0.9869 0.9869 0.9877 0.9943 0.001638389 2.0 3.0 2.9 4.0 0.7119667
filter real knn alg-abc optic 0.4805 0.5824 0.5801 0.6832 0.04621874 8.00 11.00 11.57 16.00 2.284631
filter real knn alg-abc semeion 0.8592 0.8768 0.8765 0.9110 0.01263862 97.0 103.5 103.1 107.0 3.194104
filter real knn alg-abc spect 0.7284 0.7901 0.7905 0.8395 0.03233748 6.000 6.000 6.367 8.000 0.5560534
filter real knn alg-abc splice 0.5673 0.6726 0.6685 0.7466 0.04278901 6.000 9.000 9.633 16.000 2.204749
filter real knn alg-abc vehicle 0.5078 0.5625 0.5512 0.5859 0.02201 3.000 5.000 4.733 5.000 0.5208305
filter real knn alg-pso adult 0.5936 0.6296 0.6710 0.8145 0.0852842 4.0 5.0 5.1 6.0 0.4025779
filter real knn alg-pso breast-cancer 0.9078 0.9223 0.9180 0.9223 0.006787742 1 1 1 1 0
filter real knn alg-pso credit-approval 0.4772 0.8401 0.8140 0.8426 0.09184082 3.000 4.000 3.967 5.000 0.7183954
filter real knn alg-pso gas 0.5715 0.6895 0.6912 0.7768 0.05629769 29.00 38.00 37.30 44.00 4.480994
filter real knn alg-pso german 0.6279 0.7010 0.6941 0.7342 0.02253153 3.000 5.000 4.433 6.000 0.7738544
filter real knn alg-pso ionosphere 0.8019 0.8774 0.8774 0.9340 0.03084438 4.000 6.000 5.533 7.000 1.008014
filter real knn alg-pso libras 0.6417 0.6917 0.7044 0.7917 0.03857702 12.0 16.0 15.8 22.0 2.975764
filter real knn alg-pso sonar 0.5312 0.7266 0.7328 0.9062 0.07789297 6.0 9.0 9.4 12.0 1.693802
filter real knn alg-pso lymph 0.5745 0.6596 0.6787 0.7660 0.04231408 2.000 3.000 3.167 4.000 0.5920935
filter real knn alg-pso mushroom 0.8052 0.9869 0.9742 0.9914 0.04639094 1.000 3.000 3.167 5.000 1.019917
filter real knn alg-pso optic 0.4450 0.5686 0.5628 0.6708 0.0602551 7.00 11.00 11.47 17.00 2.315366
filter real knn alg-pso semeion 0.8199 0.8489 0.8495 0.8841 0.01617623 69.00 75.50 75.30 84.00 4.284294
filter real knn alg-pso spect 0.6914 0.7778 0.7745 0.8765 0.04300362 5.000 6.000 6.267 7.000 0.5208305
filter real knn alg-pso splice 0.5766 0.6653 0.6661 0.7935 0.05920215 5.00 8.00 7.90 12.00 1.768498
filter real knn alg-pso vehicle 0.4609 0.5488 0.5428 0.5859 0.03484028 4.0 5.0 4.6 5.0 0.4982729
filter real knn alg-ga adult 0.5936 0.5936 0.6015 0.7611 0.03268355 5 5 5 5 0
filter real knn alg-ga breast-cancer 0.9078 0.9223 0.9214 0.9223 0.003694779 1 1 1 1 0
filter real knn alg-ga credit-approval 0.8376 0.8426 0.8423 0.8426 0.001287859 3.0 4.0 3.6 4.0 0.4982729
filter real knn alg-ga gas 0.5154 0.5895 0.5895 0.6563 0.02442987 22.00 26.00 26.13 33.00 3.070812
filter real knn alg-ga german 0.6910 0.7010 0.6973 0.7010 0.004885042 4.000 5.000 4.633 5.000 0.4901325
filter real knn alg-ga ionosphere 0.9057 0.9057 0.9069 0.9434 0.006889592 5.000 6.000 5.767 6.000 0.4301831
filter real knn alg-ga libras 0.6083 0.6667 0.6644 0.7250 0.03424985 6.000 7.000 6.767 7.000 0.4301831
filter real knn alg-ga sonar 0.6875 0.7969 0.7922 0.8438 0.04875021 7.0 7.0 7.2 8.0 0.4068381
filter real knn alg-ga lymph 0.6596 0.6596 0.6709 0.7447 0.02942518 3.000 4.000 3.867 4.000 0.3457459
filter real knn alg-ga mushroom 0.9869 0.9869 0.9870 0.9881 0.0003121921 2.0 2.0 2.5 4.0 0.5723515
filter real knn alg-ga optic 0.5833 0.6442 0.6547 0.6956 0.03880901 5.000 6.000 6.233 8.000 0.8976342
filter real knn alg-ga semeion 0.7060 0.7805 0.7810 0.8302 0.02435613 28.00 38.00 37.27 43.00 3.600128
filter real knn alg-ga spect 0.7901 0.8025 0.7967 0.8025 0.006264398 6.000 7.000 6.867 7.000 0.3457459
filter real knn alg-ga splice 0.6027 0.7904 0.7626 0.8008 0.04145869 3.000 3.000 3.467 4.000 0.5074163
filter real knn alg-ga vehicle 0.5312 0.5664 0.5617 0.5664 0.01215513 5 5 5 5 0
